Country Name,Country Code,Region,Income group,Year,Population,Basic Sanitation Access (Pct of Pop),Basic Drinking Water Access (Pct of Pop),Mobile Cellular Subscriptions (per 100 people)
Malta,MLT,Middle East & North Africa,High income,2000,390087,100,100,28.85133159
Myanmar,MMR,East Asia & Pacific,Lower middle income,2000,46095462,69.5804475,54.8349743,0.029063598
Montenegro,MNE,Europe & Central Asia,Upper middle income,2000,604950,,,
Mongolia,MNG,East Asia & Pacific,Lower middle income,2000,2397436,48.03272095,65.00603212,6.448555874
Northern Mariana Islands,MNP,East Asia & Pacific,High income,2000,69094,73.81000817,98.79229168,4.34191102
Mozambique,MOZ,Sub-Saharan Africa,Low income,2000,18067687,12.04740447,22.21280171,0.28263164
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,2000,2709359,23.32532511,53.60732717,0.564709217
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,2000,1186873,91.35733665,99.27977595,15.18801497
Malawi,MWI,Sub-Saharan Africa,Low income,2000,11376172,34.48932245,51.60495742,0.430724852
Malaysia,MYS,East Asia & Pacific,Upper middle income,2000,23185608,96.78226455,98.15486634,22.09020354
Namibia,NAM,Sub-Saharan Africa,Upper middle income,2000,1899257,28.36066303,77.40941662,4.317477835
New Caledonia,NCL,East Asia & Pacific,High income,2000,213230,100,94.51624682,23.46397584
Niger,NER,Sub-Saharan Africa,Low income,2000,11352973,5.986474452,37.99811334,0.018109794
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,2000,122352009,36.46033315,46.07740937,0.024519418
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,2000,5026796,60.42748317,80.6349885,1.796253518
Netherlands,NLD,Europe & Central Asia,High income,2000,15925513,98.05689677,100,67.53028408
Norway,NOR,Europe & Central Asia,High income,2000,4490967,98.071757,100,71.65452385
Nepal,NPL,South Asia,Low income,2000,23740911,19.19153233,79.50427881,0.043073326
Nauru,NRU,East Asia & Pacific,Upper middle income,2000,10037,65.70205293,95.10731156,11.95576367
New Zealand,NZL,East Asia & Pacific,High income,2000,3857700,100,100,39.95854884
Oman,OMN,Middle East & North Africa,High income,2000,2267991,88.08626238,,7.142885488
Pakistan,PAK,South Asia,Lower middle income,2000,138523285,31.6319313,88.93699618,0.221257386
Panama,PAN,Latin America & Caribbean,High income,2000,3030347,64.1380323,88.19571351,13.54303649
Peru,PER,Latin America & Caribbean,Upper middle income,2000,25914879,62.62078788,80.52343821,4.91554292
Philippines,PHL,East Asia & Pacific,Lower middle income,2000,77991569,66.9631634,86.08739209,8.275713751
Palau,PLW,East Asia & Pacific,High income,2000,19175,84.6793593,91.6530819,
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,2000,5572222,18.68797084,36.70517127,0.153619149
Poland,POL,Europe & Central Asia,High income,2000,38258629,87.01241371,,17.5017208
Puerto Rico,PRI,Latin America & Caribbean,High income,2000,3810605,97.05766225,97.06014546,34.71443203
"Korea, Dem. People’s Rep.",PRK,East Asia & Pacific,Low income,2000,22929075,,99.97039079,0
Portugal,PRT,Europe & Central Asia,High income,2000,10289898,97.31620145,98.54303825,64.3638406
Paraguay,PRY,Latin America & Caribbean,Upper middle income,2000,5302700,71.90628095,75.02805771,15.47909556
West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,2000,2922153,94.33644382,88.21386987,0.219546393
French Polynesia,PYF,East Asia & Pacific,High income,2000,237258,98.37175494,100,16.81713578
Qatar,QAT,Middle East & North Africa,High income,2000,592267,,100,20.40566164
Romania,ROU,Europe & Central Asia,Upper middle income,2000,22442971,,100,11.29331862
Russian Federation,RUS,Europe & Central Asia,Upper middle income,2000,146596557,83.79797461,95.32288442,2.229014825
Rwanda,RWA,Sub-Saharan Africa,Low income,2000,8025703,44.24980431,46.98788147,0.48593874
Saudi Arabia,SAU,Middle East & North Africa,High income,2000,20764312,98.1777041,96.80861994,6.626181498
Sudan,SDN,Sub-Saharan Africa,Lower middle income,2000,27250535,20.94469293,43.42977604,0.084402013
Senegal,SEN,Sub-Saharan Africa,Low income,2000,9884052,38.51165887,61.62394197,2.531866486
Singapore,SGP,East Asia & Pacific,High income,2000,4027887,100,100,70.19489213
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,2000,412609,20.86178016,80.22806491,0.278956591
Sierra Leone,SLE,Sub-Saharan Africa,Low income,2000,4564297,10.0586957,38.72314096,0.261595597
El Salvador,SLV,Latin America & Caribbean,Lower middle income,2000,5867626,81.90933027,80.2359009,12.67340488
San Marino,SMR,Europe & Central Asia,High income,2000,27418,100,100,52.8959078
Somalia,SOM,Sub-Saharan Africa,Low income,2000,9011479,22.42028833,20.68159921,0.887756605
Serbia,SRB,Europe & Central Asia,Upper middle income,2000,7516346,97.56346338,91.81794571,
South Sudan,SSD,Sub-Saharan Africa,Low income,2000,6700656,,,
Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,2000,138606,20.86664852,66.92283738,0
Suriname,SUR,Latin America & Caribbean,Upper middle income,2000,472390,80.92612197,88.83825408,8.689430344
Slovak Republic,SVK,Europe & Central Asia,High income,2000,5388720,98.84408723,97.980893,23.03551389
Slovenia,SVN,Europe & Central Asia,High income,2000,1988925,99.10781906,99.61582921,61.13158719
Sweden,SWE,Europe & Central Asia,High income,2000,8872109,99.313896,100,71.74688458
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2000,1061468,49.21641871,52.15380767,3.108902011
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,High income,2000,30519,,,
Seychelles,SYC,Sub-Saharan Africa,High income,2000,81131,94.13770987,93.26460299,31.99097978
Syrian Arab Republic,SYR,Middle East & North Africa,Low income,2000,16410848,93.05713944,94.8544562,0.18280591
Turks and Caicos Islands,TCA,Latin America & Caribbean,High income,2000,18873,80.89318182,86.49090909,
Chad,TCD,Sub-Saharan Africa,Low income,2000,8342559,9.904007481,39.0033695,0.065927014
Togo,TGO,Sub-Saharan Africa,Low income,2000,4970367,10.97156692,45.38619252,1.005961934
Thailand,THA,East Asia & Pacific,Upper middle income,2000,62958021,94.87428517,94.25294723,4.854028051
Tajikistan,TJK,Europe & Central Asia,Low income,2000,6216205,89.87617778,57.18496435,0.018660903
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,2000,4516131,95.18971954,83.98809972,0.166071356
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,2000,871607,,,
Tonga,TON,East Asia & Pacific,Upper middle income,2000,98082,88.72735091,98.49200316,0.183519912
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,2000,1267984,90.54915574,91.88589965,12.7651453
Tunisia,TUN,Middle East & North Africa,Lower middle income,2000,9699197,80.43639257,87.67075375,1.228606863
Turkey,TUR,Europe & Central Asia,Upper middle income,2000,63240121,82.63863106,95.49076439,25.51134429
Tuvalu,TUV,East Asia & Pacific,Upper middle income,2000,9420,,,0
Tanzania,TZA,Sub-Saharan Africa,Low income,2000,34178042,6.51250979,31.59367299,0.323359659
Uganda,UGA,Sub-Saharan Africa,Low income,2000,24039274,15.44015509,30.00812958,0.527940236
Ukraine,UKR,Europe & Central Asia,Lower middle income,2000,49175848,94.66106862,95.66028867,1.675927027
Uruguay,URY,Latin America & Caribbean,High income,2000,3321245,94.12981427,96.75302664,12.36846424
United States,USA,North America,High income,2000,282162411,99.96682066,,38.82436785
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,2000,24650400,89.29304522,85.36004714,0.213804061
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,2000,107898,70.82977766,93.15182961,2.188177723
"Venezuela, RB",VEN,Latin America & Caribbean,Upper middle income,2000,24488340,87.2817895,96.06151262,22.2439414
British Virgin Islands,VGB,Latin America & Caribbean,High income,2000,20645,96.7851984,95.30273973,
Virgin Islands (U.S.),VIR,Latin America & Caribbean,High income,2000,108642,96.4,100,32.19219661
Vietnam,VNM,East Asia & Pacific,Lower middle income,2000,80285562,53.40373302,77.85511363,0.982192788
Vanuatu,VUT,East Asia & Pacific,Lower middle income,2000,185063,52.98796962,81.6060984,0.197230132
Samoa,WSM,East Asia & Pacific,Upper middle income,2000,174610,98.66450294,93.01255743,1.431762213
Kosovo,XKX,Europe & Central Asia,Lower middle income,2000,1700000,,,
"Yemen, Rep.",YEM,Middle East & North Africa,Low income,2000,17874725,41.22860322,42.7096553,0.179258702
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2000,45728315,59.38702042,76.98000072,18.23596605
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,2000,10531221,25.9854027,48.58468732,0.938666086
Zimbabwe,ZWE,Sub-Saharan Africa,Low income,2000,12222251,41.73215461,70.38538133,2.179966685
Aruba,ABW,Latin America & Caribbean,High income,2001,92898,98.25548257,94.77049111,57.05182028
Afghanistan,AFG,South Asia,Low income,2001,20966463,23.92804665,27.16058642,0
Angola,AGO,Sub-Saharan Africa,Lower middle income,2001,16983266,21.73159711,38.07129638,0.441611172
Albania,ALB,Europe & Central Asia,Upper middle income,2001,3060173,89.09599786,87.65395136,12.5752304
Andorra,AND,Europe & Central Asia,High income,2001,67341,100,100,43.70145974
United Arab Emirates,ARE,Middle East & North Africa,High income,2001,3326032,99.97574452,99.65128368,57.40482954
Argentina,ARG,Latin America & Caribbean,High income,2001,37471509,94.78649657,99.0608209,17.99177877
Armenia,ARM,Europe & Central Asia,Upper middle income,2001,3050655,90.42044961,96.02985244,0.836017183
American Samoa,ASM,East Asia & Pacific,Upper middle income,2001,58175,62.61832937,98.56097,3.706059304
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2001,85057,82.80122949,98.1372591,29.39205474
Australia,AUS,East Asia & Pacific,High income,2001,19413000,100,99.73675877,57.77295033
Austria,AUT,Europe & Central Asia,High income,2001,8042293,99.99999066,100,80.77554402
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2001,8111200,67.22481626,76.98462661,8.905394095
Burundi,BDI,Sub-Saharan Africa,Low income,2001,6555829,42.09093835,52.664314,0.509714332
Belgium,BEL,Europe & Central Asia,High income,2001,10286570,99.48367796,100,74.59042376
Benin,BEN,Sub-Saharan Africa,Low income,2001,7076733,10.21503219,60.54256435,1.76635179
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2001,11944587,9.886293842,46.94466496,0.637828667
Bangladesh,BGD,South Asia,Lower middle income,2001,134107160,26.81044496,94.8376997,0.387749618
Bulgaria,BGR,Europe & Central Asia,Upper middle income,2001,8009142,85.83553487,99.74177477,19.54468204
Bahrain,BHR,Middle East & North Africa,High income,2001,697549,99.86290668,99.90803774,42.94852405
"Bahamas, The",BHS,Latin America & Caribbean,High income,2001,303135,88.87756344,98.33430364,19.97624821
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2001,3771284,94.90949361,96.28692324,11.79203157
Belarus,BLR,Europe & Central Asia,Upper middle income,2001,9928549,94.96618665,97.89838297,1.401089298
Belize,BLZ,Latin America & Caribbean,Upper middle income,2001,254984,82.86645193,88.20157451,15.35586547
Bermuda,BMU,North America,High income,2001,62504,99.98655933,99.98655933,20.72819987
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2001,8496375,39.20269278,79.85743208,9.179408866
Brazil,BRA,Latin America & Caribbean,Upper middle income,2001,177750670,74.1856018,93.99435746,16.17196098
Barbados,BRB,Latin America & Caribbean,High income,2001,270685,88.4715982,98.51421824,19.62096163
Brunei Darussalam,BRN,East Asia & Pacific,High income,2001,340117,,,42.04553139
Bhutan,BTN,South Asia,Lower middle income,2001,589600,53.49246603,82.39172138,0
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2001,1754935,54.94147939,77.23926613,18.93312288
Central African Republic,CAF,Sub-Saharan Africa,Low income,2001,3832203,15.7940575,52.22333695,0.287041161
Canada,CAN,North America,High income,2001,31081900,98.5,99.9,34.32422881
Switzerland,CHE,Europe & Central Asia,High income,2001,7229854,99.89966866,100,73.24755976
Channel Islands,CHI,Europe & Central Asia,High income,2001,149793,,,
Chile,CHL,Latin America & Caribbean,High income,2001,15444969,92.4984855,95.69418871,33.02553084
China,CHN,East Asia & Pacific,Upper middle income,2001,1271850000,61.12021768,77.8952594,11.21820253
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,2001,17040152,22.85816702,71.90967899,4.275460688
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,2001,15671927,39.67779863,55.99683598,2.662691065
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,2001,48394338,22.17339414,34.8676151,0.309953615
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,2001,3315806,12.75537299,57.1433528,4.523786977
Colombia,COL,Latin America & Caribbean,Upper middle income,2001,40988909,76.42609965,90.52485071,7.966206175
Comoros,COM,Sub-Saharan Africa,Low income,2001,555888,27.35330205,86.20263245,0
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,2001,443716,39.64039181,78.11246097,7.100713069
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,2001,3996798,94.41873843,94.4226437,8.180148209
Cuba,CUB,Latin America & Caribbean,Upper middle income,2001,11186542,89.30046935,93.2022035,0.076690366
Curacao,CUW,Latin America & Caribbean,High income,2001,129047,,,
Cayman Islands,CYM,Latin America & Caribbean,High income,2001,43316,95.55,96.125,39.24646782
Cyprus,CYP,Europe & Central Asia,High income,2001,960282,100,100,32.69487385
Czech Republic,CZE,Europe & Central Asia,High income,2001,10216605,99.13958085,99.80582697,67.63716308
Germany,DEU,Europe & Central Asia,High income,2001,82349925,99.21252274,100,68.83597997
Djibouti,DJI,Middle East & North Africa,Lower middle income,2001,732711,50.99842371,74.98980031,0.409438373
Dominica,DMA,Latin America & Caribbean,Upper middle income,2001,69670,65.29245402,93.75,11.06645615
Denmark,DNK,Europe & Central Asia,High income,2001,5358783,99.59724044,100,73.91039895
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,2001,8697126,79.5530709,91.3096803,14.60346786
Algeria,DZA,Middle East & North Africa,Upper middle income,2001,31592153,84.07214194,90.11459826,0.316534299
Ecuador,ECU,Latin America & Caribbean,Upper middle income,2001,12852755,71.95055256,83.7825262,6.68457463
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2001,71226940,92.49369895,98.24381157,3.922392286
Eritrea,ERI,Sub-Saharan Africa,Low income,2001,3497124,7.842605344,16.92229516,0
Spain,ESP,Europe & Central Asia,High income,2001,40850412,99.90222486,100,71.64586201
Estonia,EST,Europe & Central Asia,High income,2001,1388115,99.13356504,99.16842482,46.7907186
Ethiopia,ETH,Sub-Saharan Africa,Low income,2001,68492257,3.394329192,18.19648506,0.040150524
Finland,FIN,Europe & Central Asia,High income,2001,5188008,99.44818696,100,80.29235384
Fiji,FJI,East Asia & Pacific,Upper middle income,2001,814218,80.56456083,94.635435,9.939966938
France,FRA,Europe & Central Asia,High income,2001,61357430,98.66225478,99.904508,61.75367525
Faroe Islands,FRO,Europe & Central Asia,High income,2001,47526,,100,51.52337668
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,2001,107165,,92.257667,0
Gabon,GAB,Sub-Saharan Africa,Upper middle income,2001,1262259,39.1410164,79.55073565,11.88345657
United Kingdom,GBR,Europe & Central Asia,High income,2001,59119673,99.12954755,100,78.24769922
