Loan Amount,Funded Amount,Funded Amount Investor,Term,Home Ownership,Debit to Income,Delinquency - two years,Inquires - six months,Open Account,Public Record,Revolving Balance,Revolving Utilities,Total Accounts,Total Received Interest,Total Received Late Fee,Recoveries,Collection Recovery Fee,Collection 12 months Medical,Last week Pay,Accounts Delinquent,Total Collection Amount,Total Current Balance,Total Revolving Credit Limit
7252,15746,7152.832371,59,53240.13558,18.36339706,0,2,14,0,565,42.76665885,22,2028.55001,0.01051569,1.617470586,0.381692684,0,55,0,46,31377,65025
15579,26724,13048.29482,59,75848.02772,28.48096403,1,0,18,0,3884,72.44352772,25,493.5015047,0.045997237,2.279182313,0.756470987,0,10,0,11,189382,18251
7511,5847,13162.85763,58,66235.24666,17.87572678,0,0,10,0,7516,49.91277233,4,4787.868858,0.030662721,0.6130685920000001,1.388873151,0,112,0,314,100631,21290
20431,20069,24502.01062,59,31395.57898,27.58893134,0,0,10,0,1917,3.819120381,6,97.39275661,0.0235225139999999,0.025732308,1.438959177,0,94,0,32,182147,31323
25317,32072,27054.12025,59,144050.0059,19.73371754,1,0,12,0,2478,90.87323213,21,1015.934369,0.031539184,4.889495419,0.480087917,0,35,0,41,65113,14401
3968,19420,11793.52409,59,117562.6729,22.67154988,0,2,17,0,8297,29.939372100000003,7,1403.557284,0.034072404,5.998522685,0.338064022,0,32,0,50,101861,4319
30677,10908,17140.83485,59,104004.7103,16.045143099999997,0,0,14,1,1613,50.09590316,32,1974.352425,0.012738806,2.050766764,0.60922546,0,68,0,45,322705,64404
19989,8964,9399.521396,59,211833.6129,35.76157679,1,0,12,0,10286,58.54007131,41,44.2672439,26.7526997,3.746518944,0.476414667,0,102,0,31,470224,9801
6407,6596,12718.32304,59,61171.52234,19.76681029,0,0,14,0,798,2.624381796,20,3834.882607,0.025602929,4.853892701,0.432009072,0,82,0,30,200959,1442
7520,16576,12047.78548,58,47432.15992,14.09196621,0,0,35,0,7089,83.65239748,22,2536.054061,0.02661502,5.901711915,1.011795692,0,10,0,22,256597,38096
22796,26900,10654.05258,59,56885.26957,17.11808915,0,0,13,0,8078,57.47983352,20,252.0684456,0.0123322019999999,4.816387991,0.264064952,0,8,0,21,13724,23998
4321,11239,16505.95814,59,64349.51723,7.850122471000001,0,0,13,0,30433,50.2949611,30,1778.7691719999998,0.001539876,7.380006882000001,1.02753926,0,74,0,42,321783,30942
23101,8733,22934.45268,59,79632.29233,29.22137209,0,0,30,0,1022,82.38835655,29,1424.033328,0.074019707,7.004255400000001,1.091031527,0,137,0,15,178847,18017
15434,21212,34888.505410000005,58,82457.28571,28.76474154,0,0,11,0,2684,75.1829589,11,1497.703503,0.015428793,3.038562678,1.009778422,0,38,0,20,234218,30538
27160,22858,9563.327068,59,81496.8423,32.47931792,0,0,9,0,5055,43.19936827,20,937.1777336,0.03619569,2.299947835,0.482179719,0,51,0,33,383773,3674
13887,4862,18137.77715,59,42907.21957,17.27069554,0,0,33,0,3535,50.28046319,7,190.6439575,0.036634899,4.3520488980000005,0.7780042770000001,0,28,0,58,345897,32809
19694,7548,11609.7268,59,67499.64702,13.47327341,0,0,13,0,15108,60.1698325,9,217.7429024,0.040613414,4.189432523,0.475338177,0,80,0,58,167589,14229
8774,31965,11364.36797,58,142626.3382,33.34105039,0,0,12,0,10428,45.64009214,10,3617.145163,0.0450999359999999,0.23671094,0.600563564,0,50,0,52,644022,23011
1942,6857,7697.839397,59,54464.07594,15.40313331,0,0,24,0,1129,17.88840163,17,1313.5292980000002,0.11995908,4.484128864,1.153112347,0,133,0,33,30795,12342
15988,30088,22146.97129,59,209788.9423,37.36539493,0,2,10,0,12346,31.20004875,29,1550.886255,0.017728228,4.368664053,1.021488967,0,1,0,19,214515,46622
17638,21216,9389.855862,59,61734.27815,28.04223413,0,0,10,0,21275,52.57146036,21,304.0977912,0.041806662,4.006608987,0.55118991,0,52,0,45,18706,69374
16660,15552,10077.75044,58,125827.8375,9.029959742,0,0,11,0,5572,71.34963742,24,1458.186783,0.0024184239999999,10.69873941,0.468950769,0,97,0,38,197872,7510
2531,5037,29152.76837,59,130310.6831,36.44892736,1,0,11,0,11442,23.87480091,6,3898.55894,0.057422113,4.989735583,1.027313797,0,136,0,38,46468,6090
7839,25539,6638.4550340000005,58,51039.184,30.64519095,0,0,16,0,7726,36.73869407,9,1979.161732,0.003415198,0.629439568,0.774385322,0,11,0,45,83059,15684
21336,11587,25805.00177,59,147850.5949,24.80352981,0,0,11,0,7719,65.78716174,28,9785.654407,0.054038119,0.534507663,1.11405208,0,45,0,32,129448,39586
27236,20042,8314.895735,59,104220.8738,10.94204929,2,0,12,0,27839,81.81366914,17,2233.275737,0.060167597,4.437768379,0.651245731,0,104,0,36,24973,14628
4166,10516,15928.37176,59,32009.92539,31.24239513,1,0,19,0,8687,4.569097643,10,895.7568495999999,0.084350538,556.28579,0.649404936,0,124,0,45,972203,6403
13014,26207,12579.24376,59,52078.44125,24.43485795,0,0,19,0,2035,71.4027421,15,344.5155833,0.0290426729999999,2.560074589,0.385616854,0,63,0,17,81748,27210
33528,7305,29329.80589,59,82112.62743,18.74704444,0,0,13,0,6748,73.50612329,31,3266.030837,0.047137587,3.000519519,0.87987634,0,56,0,44,379556,49323
29298,22617,10319.22063,59,85376.35681,30.60362164,0,0,15,0,13160,66.06590438,27,684.2262294,0.033463575,3.985558893,0.311396316,0,71,0,30,29918,9276
33385,11151,12356.3951,59,167188.5183,19.46252466,0,0,12,0,371,43.59929884,11,768.2001088,0.072281844,2.871733712,0.22723307,0,12,0,36,294350,16717
31132,16137,13259.86188,58,261438.9266,25.19207904,0,0,32,0,4345,8.002867864,22,929.1894453,0.073428061,7.681177877,0.98045202,0,49,0,23,194950,71112
14290,29504,22037.16751,59,70938.63886,16.7383913,0,0,12,0,1065,44.19546554,23,2614.1779920000004,0.01284455,2.194665837,1.037823078,0,27,0,251,199000,33265
18966,23594,8975.033882,59,58274.85504,21.56186702,0,0,11,1,6436,39.8965763,14,569.9779812,0.018700792,1.641457775,0.919047764,0,89,0,37,142623,4364
20083,6770,17507.5469,58,40468.97503,27.63275886,0,0,12,0,4973,40.91058359,19,1529.189375,0.0037124959999999,6.085300811000001,0.878252494,0,56,0,1601,88051,8981
9388,34886,7395.559837000001,59,191510.6954,37.87771073,0,1,35,0,12835,47.25302183,35,307.69250960000005,24.47939822,2.359147076,0.45728927,0,31,0,28,303166,47531
16117,22863,7192.760843000001,58,60202.5682,23.81275833,0,0,14,0,3853,65.29915294,28,5963.499333,0.088815227,2.759048879,0.4226839089999999,0,61,0,47,222796,12139
3206,8911,11349.44875,59,110280.2221,17.05900529,0,1,9,0,7020,54.21524061,27,313.22259080000003,0.033565961,2.464447119,0.8338950709999999,0,98,0,22,14439,7531
21849,9904,8622.100448000001,59,45055.93227,23.39557391,0,0,25,0,1332,94.97341104,9,4442.574914,0.042307493,8.038135107,0.582301936,0,138,0,44,431557,14039
11309,21843,21125.08615,59,93677.52134,25.60409134,0,0,14,0,42,14.08300257,25,266.034748,0.041645954,1.604711891,0.3628480079999999,0,128,0,280,68054,55552
14842,13038,14914.437580000002,59,142956.2962,19.62724719,1,0,6,0,5816,12.98790812,28,463.44031,0.054161266,5.858210017999999,0.486326407,0,118,0,32,220547,44562
7440,7862,13424.53249,59,206402.2373,26.75907061,0,0,7,0,8048,56.64971922,31,1542.606004,0.042751816,0.159340001,0.710753321,0,67,0,36,109958,25764
3936,6699,20406.84574,59,75872.80904,35.03308522,2,0,11,0,13563,97.92343962,30,2557.188464,0.027150447,1.673468176,1.253948773,0,49,0,35,19589,16468
30347,9952,27279.43058,59,94452.82915,30.23399778,0,0,11,1,25561,52.22043862,17,4482.236033,0.004911348,0.8708961040000001,0.639849935,0,133,0,35,72014,5039
27997,10817,15159.91535,59,78609.08031,34.68319881,0,0,13,0,3250,54.41141451,29,4658.696497,0.01007527,0.242641313,1.3832252619999998,0,63,0,42,97307,13302
17067,7072,8065.810512999999,59,76118.7889,17.35265308,1,1,11,0,3019,76.33945876,15,788.8999284,0.019285638,2.72267769,0.983605236,0,57,0,30,170788,8518
26491,4390,25377.58703,58,118893.6762,38.40028611,0,0,8,0,7733,94.29819423,26,529.8716645,0.005495325,2.28379874,0.0121964289999999,0,11,0,54,134169,8713
16490,15040,12448.553440000002,59,74197.89232,14.46623492,0,1,32,0,1571,41.5499694,29,2472.26216,0.051333437,1.9480789,0.945526136,0,130,0,52,375803,48589
19396,10084,24333.43552,58,90152.39381,19.29120241,0,0,13,0,7369,35.87334881,6,3072.917525,0.021735037,0.385114177,1.377891365,0,52,0,4,160927,29668
17023,33595,26945.34113,58,109964.7152,26.83378187,0,0,29,0,2259,72.77911206,15,1335.301054,0.097986751,7.040869886,29.46580247,0,66,0,43,201725,33255
20656,4786,7262.890853,58,80440.11847999999,11.03556685,0,0,16,0,11786,16.07480585,6,1155.787814,0.080335696,3.842381,1.150518065,0,133,0,29,99427,5904
25322,17145,32412.32405,59,80224.65141,11.75845966,0,0,17,0,5330,53.88506903,22,298.3398306,0.00761486,6.349413867000001,0.894781858,0,61,0,1494,247818,6106
13726,16848,11037.37898,59,111864.9309,17.76260068,0,0,3,0,13620,19.59884853,13,582.4448091,0.039433177,2.495535458,1.387076212,0,114,0,45,190668,9773
10397,23584,9652.393415,58,80856.48574,15.82704811,0,0,12,0,7227,69.90463184,20,436.4457867,0.017592963,3.644242384,1.00593552,0,66,0,50,129082,39420
32499,8547,17997.93015,59,67244.80909,16.42109132,0,0,14,1,10171,63.88666301,34,6103.443308,0.111801205,5.575310591,0.8235663459999999,0,53,0,54,191091,5245
17385,13434,21705.88569,58,97774.15722,15.45650493,0,0,20,0,20544,73.76864207,10,984.1240923,0.021930959,1.258564178,1.329360603,0,116,0,44,136825,7371
20121,14167,10204.0701,59,39047.30394,30.63150082,0,0,13,0,2356,62.59876967,30,3236.3146260000003,0.023113651,5.435758721,0.750060513,0,70,0,32,240359,30428
24378,10401,10341.47201,59,65294.40157,29.87513937,0,0,15,0,1,71.20726792,31,618.1088829,0.00336753,2822.758672,0.918319879,0,155,0,37,8726,10981
11881,19614,10368.30095,58,104312.3839,24.06624676,1,0,12,0,226,73.63794922,22,1622.632882,0.059290507,2.759321422,0.939006079,0,52,0,48,50892,15160
4635,17430,12529.88367,59,55131.361,15.1152089,0,0,9,0,12284,79.13702747,28,11755.77391,0.05518356,4.907497348,1.237133643,0,111,0,25,64147,3686
16980,10897,7452.293458,59,79131.53875,36.20242596,0,0,23,0,8207,62.42351633,24,6386.576054,0.035819348,4.520736298,0.870930545,0,34,0,35,100602,7577
34985,21578,15729.88463,58,155905.7575,35.51282398,1,0,14,0,4710,95.15842835,18,741.9066502000001,0.065740623,8.764771547999999,0.766329657,1,58,0,39,169965,12930
15311,15908,11657.9369,58,107161.3271,15.24029148,0,1,18,0,29996,67.17746312,10,1506.532842,0.028349621,6.969663205,0.52286602,0,33,0,44,105067,21683
15837,21103,16610.55439,59,98662.81204,33.27353083,0,0,15,0,27784,42.24377981,18,1748.483864,0.0810433909999999,1.109919874,1.11022854,0,136,0,55,77342,15652
14101,8648,15782.15115,58,75132.59964,37.82016779,0,0,8,3,2122,20.74230786,30,1061.43259,0.002617509,2.095254502,0.58634534,0,44,0,2949,134936,40932
12954,20040,9757.427346,59,61907.69856,32.59163284,0,0,12,0,3,66.93164159,28,9837.515502,0.087994243,1.2733763809999998,0.0493566629999999,0,63,0,38,158203,53460
10922,11308,6786.829425,58,157957.2502,26.29700828,0,0,18,0,2386,54.18410365,24,418.5563152,0.045815859,8.148995728,0.7826758979999999,0,15,0,34,40058,19219
15536,34958,4269.392834,59,111127.7858,18.72303142,1,0,11,0,22344,62.3829894,17,3063.239773,0.072470484,1.202837161,0.6826477790000001,0,6,0,26,199357,28861
17702,8347,13145.91887,58,140883.8075,39.34876187,0,0,13,0,3321,54.47336546,21,2495.870762,0.018711551,0.612094314,0.745032385,0,139,0,31,82934,10133
13328,20206,4376.134424,58,230566.2189,19.92279094,0,0,12,0,7894,36.25721189,20,3315.536935,0.01107051,1.772803182,1.139270926,0,46,0,54,352153,17919
20240,11672,22486.90548,59,111771.7838,36.12170166,0,1,11,0,21654,82.19736039,16,1086.316331,0.008057095,2.148694877,0.949945408,0,145,0,10,120630,44995
23821,14008,13875.512680000002,59,81964.34564,19.15740591,0,4,12,0,1542,77.19923947,39,981.6548688,0.0256615,9.791063199,0.309546744,0,48,0,21,19656,20397
24860,7644,14328.52305,36,113098.7118,37.61866011,0,0,11,0,3741,67.84781322,12,426.0321896,0.038586139,0.416585844,0.578443522,0,152,0,54,27655,14364
18353,6090,22448.31817,59,19565.61333,19.16623347,0,2,8,0,3348,67.38361642,9,1301.808012,0.011574585,2.821519879,0.751576586,0,65,0,58,152987,12993
6804,13542,14128.737,59,75742.87038,34.22329182,0,2,9,1,5602,52.02656393,12,1561.52963,0.022966913,8.165577282000001,1.132496772,0,68,0,50,25979,1194
24622,31732,9668.206639,59,156308.6346,36.2246858,0,0,22,0,1230,58.78467852,10,360.14227650000004,0.072418973,5.85444005,0.351896432,0,123,0,45,36254,10778
9564,4833,7399.336187000001,58,44205.68146,5.080960386,1,0,13,0,3362,48.21834246,18,1306.648581,0.006826328,2299.714883,0.7684048379999999,0,47,0,31,165619,45342
24855,28804,21896.97158,59,47624.90688,19.53738976,1,0,8,0,2084,29.96668386,5,6494.026822999999,0.0299527539999999,3.048733046,0.291538252,0,140,0,47,84802,10466
6062,11828,14098.56254,58,135348.8579,10.10366193,0,0,12,0,510,86.17885497,32,2860.5090760000003,0.048137364,5.928600315,1.438233099,0,45,0,22,72446,33410
19854,15466,15282.26365,59,44345.25564,16.44052496,7,0,9,0,10171,83.87545199,15,1075.278086,0.00999248,2.795644284,0.437770217,0,26,0,39,310933,16281
21462,8916,8527.355275,59,73739.98114,26.36854843,0,0,11,0,15643,69.80262375,24,2387.509789,0.069440171,7.827853195,0.280395359,0,127,0,23,229683,39102
4492,6721,5464.073883,58,110614.0143,21.91779687,0,3,8,0,9510,41.82493806,24,299.6583439,0.028009287,4.148031322,0.890557431,0,12,0,57,45497,6898
18870,11148,10304.2424,59,92144.38611,32.3211604,0,2,12,0,1044,28.43478481,16,540.6021998,0.052077004,5.33603419,0.553605852,0,10,0,39,368585,2629
16355,31121,31440.76334,58,61382.85539,20.04978966,0,0,9,0,3737,11.66503755,5,1518.474397,0.093143029,7.033831894,0.70728174,0,65,0,51,24463,27168
17508,9688,12129.45981,59,67562.64394,15.51837354,1,0,14,0,941,60.49947982,17,2277.598066,0.056119523,0.633643188,0.8234983459999999,0,35,0,26,58015,12986
30967,22212,11864.03999,59,62239.14264,16.64719283,0,0,14,0,94110,84.54182132,13,1546.011909,0.003822804,1.84998776,1.031928032,1,60,0,32,31598,21049
34764,15681,12330.21035,59,80989.46801,21.60270939,0,1,12,0,199,65.82061026,13,1125.198703,0.053710039,4.8515733910000005,1.263419852,0,30,0,52,41137,7632
27467,5298,11320.69759,59,158587.5879,15.68023139,0,0,13,1,5489,92.31915653,19,3540.7801770000005,0.110313679,0.855071873,0.396154187,0,78,0,55,211249,7729
2602,8537,29092.45456,59,23555.37156,14.72923909,1,0,10,0,4155,82.92442502,14,391.5529559,0.016012845,2.008973134,1.355798092,0,11,0,51,253625,26270
30238,4589,7272.620177,58,50413.30384,25.18923156,0,0,14,0,114,86.79280149,18,1063.702256,0.001547836,2.620744815,0.503713913,0,44,0,285,60690,36364
11208,8895,6605.35876,59,32253.84578,22.37335608,2,0,11,0,17814,70.26476009999999,37,161.10772219999998,0.045531441,4.495077451,0.173615044,0,38,0,55,28989,12788
15495,17781,8669.280429,58,64358.35745,32.12205769,0,0,15,0,4121,76.09532804,7,768.8558536,0.015303273,4.480485418,0.943078702,0,49,0,22,42388,10420
13409,13453,19296.91139,59,115655.2364,20.71925706,0,0,14,0,2976,38.44194414,28,1621.975214,12.90428112,984.2402444,1.3980352530000002,0,18,0,24,26823,16993
15364,9638,23248.20791,59,61168.84801,14.03161881,1,0,19,0,5253,51.83892388,10,1977.232798,0.074555585,6.564030329,0.7908356059999999,0,160,0,38,233901,9197
27908,19478,10530.8917,59,61989.06107999999,10.46253199,0,0,12,0,2551,64.77924429,24,657.4523171,0.002623504,5.699013081,0.40144971,0,87,0,33,6944,46633
16669,20569,12152.76388,59,287630.7187,39.52545787,2,0,12,0,3449,15.33553654,18,589.5206454,0.018581087,3.988156553,0.016740453,0,99,0,547,69871,13639
29730,20778,12687.85493,59,81744.78126,12.619371,0,0,9,0,2694,74.04753061,37,1615.838628,0.018490088,5.460739322,1.588563142,0,111,0,39,30759,25783
27960,13754,8354.06553,59,77839.34943,33.70168297,0,0,9,0,9999,59.29942595,15,1077.656528,34.98640251,2.352040844,1.08064355,0,57,0,34,219924,1531
9207,7674,9905.760978,36,119711.7452,26.30458197,0,0,29,0,5675,74.54632479,36,4486.725042,0.005911804,1.032214167,0.062664873,0,7,0,23,179085,7588
31209,32909,22908.96897,59,136638.5286,37.96409712,0,0,10,0,15626,88.61918929,9,586.6808114,0.0336926679999999,5.035737655,0.295072294,0,3,0,31,337291,38625
34234,31730,12945.55846,58,36241.39867,22.44427748,0,0,10,0,5249,17.6731034,24,300.7412202,0.0144075389999999,0.658651168,0.710374245,0,144,0,34,649259,38017
28991,21959,14387.2852,59,51459.44501,5.955310347999999,0,0,17,0,9283,44.27789155,29,351.658995,29.97932856,2.422588569,0.423751942,0,94,0,8,507235,56408
13991,7395,13376.21411,59,113690.1743,12.84541321,0,0,8,0,3911,32.5550683,27,1230.439858,0.056862618,2.78314216,0.569097188,0,76,0,46,255420,54942
11170,16827,14527.34155,59,216574.8073,34.767351500000004,1,0,10,0,8307,1.625088856,12,323.16485750000004,0.0125345789999999,0.941322387,22.17780003,0,28,0,48,300174,12300
21192,9195,22356.538480000003,59,110820.0082,15.70219326,4,0,33,0,13620,83.40058602,27,560.4844921,0.024806321,4.186337067,0.945899555,0,85,0,22,68893,58954
16696,13394,8229.678273,59,155699.7491,39.25480178,0,0,11,0,1052,77.63259097,50,6775.429669,0.025016365,2.425334531,0.454739048,0,8,0,13913,112807,42951
23027,11084,11548.01766,58,84978.15673999999,14.65384056,0,0,10,0,3511,40.86084322,17,625.4021169,0.0142176089999999,1.523546716,1.392062991,0,11,0,27,42548,4070
12978,21898,23079.84132,59,74598.65431,11.73142568,0,2,12,0,7130,48.66684693,37,789.7820755,0.040238878,2.31392675,0.031381011,0,57,0,3,1748,3453
29502,31841,34640.618480000005,59,71395.24281,9.372303591,0,0,16,0,7806,77.80337751,14,1736.0542829999995,0.0140627139999999,1.648111739,0.360541766,0,16,0,45,40577,29457
15215,8252,10754.35078,59,69780.58822,35.12023247,1,0,19,0,3282,20.04948248,18,779.1162465,0.0067445469999999,2.916022747,0.352492545,0,148,0,29,8568,46745
15077,15915,10179.11258,59,48021.80127,17.66227157,1,0,19,0,21497,51.71287693,22,1804.289219,41.50705915,3.014195609,1.412636927,0,50,0,21,164385,29568
17722,12430,12839.50885,59,35945.09772,13.07913264,0,0,19,0,8842,13.48164904,20,1128.432881,0.086817353,0.7558233059999999,0.853134774,0,51,0,17,116135,56373
18617,5139,20411.81683,59,29811.111760000003,33.94622514,0,0,32,0,15439,47.49455387,11,1536.823496,0.006146454,0.651121136,0.372503085,0,120,0,50,275205,13135
13583,15956,10744.44245,59,48105.13038,12.25967073,1,2,6,0,26588,92.60536038,7,6372.585839,21.24614389,2.11163756,0.539670827,0,13,0,364,141482,61733
24256,29039,6379.250887,59,91589.97376,37.77597805,1,0,14,0,21075,43.62015776,25,477.4173277,0.0418524579999999,2.20475635,0.965637014,0,5,0,34,55372,73750
20364,21416,9314.126784,58,36059.04959,20.57464659,0,1,11,0,5604,46.69362035,23,3199.840905,0.129635148,5.623674286,0.335343653,0,58,0,41,44179,23753
23528,24591,13764.48454,59,74222.27782,22.5128702,0,0,12,0,5086,10.72927061,26,810.7612709,31.63432926,0.7045000640000001,1.171570686,0,107,0,47,99675,10800
19188,10643,10278.36642,59,51879.86783,10.00088069,0,0,7,0,13829,69.88568704,47,2810.710196,0.008189294,7.096427964,0.009808384,0,35,0,25,29390,63841
